label,ecmp,hedera,nonblocking
stag0(0.2,0.3),210.733421,224.053798,84.604269
stag1(0.2,0.3),288.608516,334.667512,141.200281
stag2(0.2,0.3),271.600914,288.993319,103.416156
stag0(0.5,0.3),248.651124,222.924014,112.456542
stag1(0.5,0.3),192.284763,196.714488,103.893081
stag2(0.5,0.3),244.932665,255.636270,113.181202
stride1,121.510436,177.740632,8.865715
stride2,149.640545,237.028118,37.168842
stride4,259.505935,294.403169,76.098405
stride8,300.517891,581.730666,120.970257
rand0,275.202495,286.131959,86.128605
rand1,272.199788,319.209439,96.378542
rand2,341.933281,343.645920,104.542544
randbij0,345.203869,411.012481,141.077139
randbij1,215.308616,431.404912,131.579473
randbij2,265.109259,376.480239,121.822998
randx2,340.646487,310.498204,126.935271
randx3,372.649747,322.954019,117.090699
randx4,412.850465,300.125476,111.303300
hotspot,221.035837,376.963320,77.295909
